,Event,Site,Date,Round,White,Black,Result,BlackElo,BlackRatingDiff,ECO,Termination,TimeControl,UTCDate,UTCTime,Variant,WhiteElo,WhiteRatingDiff
62,Rated Blitz game,https://lichess.org/qnKlj0j1,2021.02.22,?,scifi00,DaenaliaEvandruile,0-1,980,+6,C64,Normal,180+0,2021.02.22,04:05:51,Standard,945,-5
63,Rated Bullet game,https://lichess.org/2ksUnhwb,2021.02.22,?,LovePlum,DaenaliaEvandruile,1-0,1243,-6,C50,Normal,60+0,2021.02.22,03:58:05,Standard,1222,+15
64,Rated Blitz game,https://lichess.org/SJXchOC8,2021.02.22,?,amitahl,DaenaliaEvandruile,1-0,986,-6,D00,Normal,180+0,2021.02.22,02:25:31,Standard,964,+6
65,Rated Blitz game,https://lichess.org/34KeDiQm,2021.02.21,?,DaenaliaEvandruile,LucasKoch,0-1,1069,+4,B10,Normal,180+0,2021.02.21,23:33:12,Standard,991,-5
66,Rated Blitz game,https://lichess.org/8YZXbmdE,2021.02.21,?,cormaca,DaenaliaEvandruile,1-0,997,-6,C50,Normal,180+0,2021.02.21,23:02:52,Standard,990,+6
67,Rated Blitz game,https://lichess.org/I3SUCNYm,2021.02.21,?,bootylicker2005,DaenaliaEvandruile,0-1,991,+6,D06,Normal,180+0,2021.02.21,22:59:20,Standard,998,-34
68,Rated Blitz game,https://lichess.org/j0EDJnop,2021.02.21,?,chezzmastah,DaenaliaEvandruile,1-0,997,-6,D02,Normal,180+0,2021.02.21,22:52:05,Standard,988,+6
69,Rated Blitz game,https://lichess.org/pcRcimUf,2021.02.21,?,DaenaliaEvandruile,luchalibre11,0-1,1000,+7,B23,Normal,180+0,2021.02.21,22:46:38,Standard,1002,-5
70,Rated Blitz game,https://lichess.org/uHCxQWBg,2021.02.21,?,DaenaliaEvandruile,rumpl,1-0,994,-6,C50,Normal,180+0,2021.02.21,22:05:03,Standard,997,+5
71,Rated Blitz game,https://lichess.org/fyOhq6yx,2021.02.21,?,Adelecc,DaenaliaEvandruile,1-0,1001,-4,C20,Normal,180+0,2021.02.21,22:02:20,Standard,1083,+5
72,Rated Blitz game,https://lichess.org/1g0oS76F,2021.02.21,?,DaenaliaEvandruile,jremersonjr,0-1,990,+6,C20,Normal,180+0,2021.02.21,21:58:18,Standard,1007,-6
73,Rated Bullet game,https://lichess.org/YXt0qIhG,2021.02.21,?,DaenaliaEvandruile,cEvIkBaS,1-0,1269,-6,C20,Time forfeit,60+0,2021.02.21,14:12:33,Standard,1237,+6
74,Rated Bullet game,https://lichess.org/iMBxCbKN,2021.02.21,?,cEvIkBaS,DaenaliaEvandruile,1-0,1242,-5,D00,Normal,60+0,2021.02.21,14:11:34,Standard,1263,+6
75,Rated Bullet game,https://lichess.org/RPYOfk84,2021.02.21,?,DimaFerz,DaenaliaEvandruile,0-1,1236,+6,C20,Normal,60+0,2021.02.21,14:04:20,Standard,1256,-6
76,Rated Bullet game,https://lichess.org/xuom9Dsg,2021.02.21,?,DaenaliaEvandruile,DimaFerz,0-1,1251,+5,C26,Time forfeit,60+0,2021.02.21,14:02:02,Standard,1242,-6
77,Rated Bullet game,https://lichess.org/dZ8zAZSR,2021.02.21,?,DimaFerz,DaenaliaEvandruile,0-1,1236,+6,C45,Normal,60+0,2021.02.21,13:59:59,Standard,1257,-6
78,Rated Bullet game,https://lichess.org/unPuL39f,2021.02.21,?,DaenaliaEvandruile,DimaFerz,1-0,1263,-6,C42,Time forfeit,60+0,2021.02.21,13:57:27,Standard,1229,+7
79,Rated Bullet game,https://lichess.org/MkeePQqW,2021.02.21,?,Mura001,DaenaliaEvandruile,0-1,1223,+6,C20,Normal,60+0,2021.02.21,13:56:01,Standard,1263,-6
80,Rated Bullet game,https://lichess.org/vBcL9iq7,2021.02.21,?,DaenaliaEvandruile,achessr,0-1,1235,+6,A05,Time forfeit,60+0,2021.02.21,13:53:12,Standard,1229,-6
81,Rated Bullet game,https://lichess.org/sgBIIpnS,2021.02.21,?,Delta03015,DaenaliaEvandruile,1-0,1234,-5,C33,Time forfeit,60+0,2021.02.21,13:50:33,Standard,1250,+5
82,Rated Bullet game,https://lichess.org/2tbSwBAZ,2021.02.21,?,DaenaliaEvandruile,daveiw,0-1,1249,+6,C00,Normal,60+0,2021.02.21,13:48:09,Standard,1239,-5
83,Rated Bullet game,https://lichess.org/tp1HGDya,2021.02.21,?,skwokca,DaenaliaEvandruile,1-0,1247,-8,D00,Normal,60+0,2021.02.21,13:45:57,Standard,1096,+48
84,Rated Bullet game,https://lichess.org/S8SKYFUz,2021.02.21,?,DaenaliaEvandruile,RaychSeldon,0-1,1242,+15,B50,Normal,60+0,2021.02.21,13:43:47,Standard,1253,-6
85,Rated Bullet game,https://lichess.org/CBphLNqv,2021.02.21,?,DaenaliaEvandruile,kavehFAAL1376,0-1,1295,+6,B00,Time forfeit,60+0,2021.02.21,13:40:37,Standard,1258,-5
86,Rated Bullet game,https://lichess.org/KIijTfoW,2021.02.21,?,rsantos94,DaenaliaEvandruile,0-1,1253,+5,C40,Time forfeit,60+0,2021.02.21,13:37:28,Standard,1171,-4
87,Rated Bullet game,https://lichess.org/7PvJlN25,2021.02.21,?,DaenaliaEvandruile,lRumatal,1-0,1263,-6,B10,Time forfeit,60+0,2021.02.21,13:34:34,Standard,1247,+6
88,Rated Bullet game,https://lichess.org/6VMoqdo0,2021.02.21,?,DaenaliaEvandruile,Goodie1857,1-0,1299,-7,B27,Normal,60+0,2021.02.21,13:31:25,Standard,1241,+6
89,Rated Bullet game,https://lichess.org/HeRxRISF,2021.02.21,?,steinitz06,DaenaliaEvandruile,0-1,1236,+5,A00,Time forfeit,60+0,2021.02.21,10:54:12,Standard,1135,-5
90,Rated Bullet game,https://lichess.org/MPbcYaAC,2021.02.21,?,Bisht_23,DaenaliaEvandruile,1-0,1243,-7,D02,Time forfeit,60+0,2021.02.21,10:50:54,Standard,1207,+7
91,Rated Bullet game,https://lichess.org/ydxQPe6F,2021.02.21,?,Snowman80,DaenaliaEvandruile,0-1,1237,+6,C42,Normal,60+0,2021.02.21,10:50:18,Standard,1239,-53
92,Rated Bullet game,https://lichess.org/fZ1YtOrt,2021.02.21,?,DaenaliaEvandruile,JuanRoz_24,1-0,1200,-16,B50,Time forfeit,60+0,2021.02.21,10:47:02,Standard,1232,+5
93,Rated Bullet game,https://lichess.org/EP0vvPsF,2021.02.21,?,DaenaliaEvandruile,Marat7275,0-1,1249,+6,B23,Normal,60+0,2021.02.21,10:44:51,Standard,1238,-6
94,Rated Bullet game,https://lichess.org/hbHucVb6,2021.02.21,?,birol2,DaenaliaEvandruile,0-1,1234,+4,C20,Time forfeit,60+0,2021.02.21,10:42:21,Standard,1104,-3
95,Rated Bullet game,https://lichess.org/mx39XOLN,2021.02.21,?,DaenaliaEvandruile,GustavJansson,0-1,1203,+6,B30,Normal,60+0,2021.02.21,10:39:46,Standard,1240,-6
96,Casual Bullet game,https://lichess.org/A5BkY555,2021.02.21,?,DaenaliaEvandruile,Nickuboss,0-1,1802,,A06,Time forfeit,60+0,2021.02.21,10:22:25,Standard,1240,
97,Casual Bullet game,https://lichess.org/7MOp3os9,2021.02.21,?,Nickuboss,DaenaliaEvandruile,1-0,1240,,D00,Normal,60+0,2021.02.21,10:21:06,Standard,1802,
98,Casual Bullet game,https://lichess.org/JZlaf60o,2021.02.21,?,DaenaliaEvandruile,Nickuboss,0-1,1802,,C25,Normal,60+0,2021.02.21,10:18:45,Standard,1240,
99,Casual Bullet game,https://lichess.org/p2hawQKb,2021.02.21,?,Nickuboss,DaenaliaEvandruile,1-0,1240,,D00,Time forfeit,60+0,2021.02.21,10:16:04,Standard,1802,
100,Casual Bullet game,https://lichess.org/hT8ecmy8,2021.02.21,?,DaenaliaEvandruile,Nickuboss,0-1,1802,,B01,Time forfeit,60+0,2021.02.21,10:13:59,Standard,1240,
101,Casual Blitz game,https://lichess.org/g8XSYxl5,2021.02.21,?,Nickuboss,DaenaliaEvandruile,1-0,1007,,D00,Normal,180+2,2021.02.21,10:03:07,Standard,1772,
102,Rated Rapid game,https://lichess.org/fKcIx7Ed,2021.02.21,?,DaenaliaEvandruile,seb1291bes,1-0,1309,-8,C46,Normal,600+0,2021.02.21,06:58:09,Standard,1239,+8
103,Rated Rapid game,https://lichess.org/KjDZCuD4,2021.02.21,?,seb1291bes,DaenaliaEvandruile,1/2-1/2,1238,+1,C20,Normal,600+0,2021.02.21,06:48:21,Standard,1310,-1
104,Rated Rapid game,https://lichess.org/ddnRrc2A,2021.02.21,?,DaenaliaEvandruile,Mickey_Done,1-0,1236,-6,B23,Normal,600+0,2021.02.21,06:46:05,Standard,1231,+7
105,Rated Rapid game,https://lichess.org/L2znYud8,2021.02.21,?,polnov,DaenaliaEvandruile,0-1,1225,+6,A00,Time forfeit,600+0,2021.02.21,06:42:21,Standard,1175,-12
106,Rated Blitz game,https://lichess.org/i3qJzFTE,2021.02.21,?,DaenaliaEvandruile,thesobresaliente69,1-0,1132,-7,C41,Normal,180+0,2021.02.21,06:25:53,Standard,999,+8
107,Rated Blitz game,https://lichess.org/2Y5yrjJ7,2021.02.21,?,meatspinman,DaenaliaEvandruile,1/2-1/2,998,+1,C46,Normal,180+0,2021.02.21,06:19:26,Standard,1032,+0
108,Rated Blitz game,https://lichess.org/HUsdNfCy,2021.02.21,?,DaenaliaEvandruile,MaryCamacho,0-1,1115,+4,C42,Time forfeit,180+0,2021.02.21,06:12:41,Standard,1003,-5
109,Rated Rapid game,https://lichess.org/Xq30E95L,2021.02.21,?,DaenaliaEvandruile,xmunkox,1-0,1200,-101,B23,Normal,600+0,2021.02.21,05:57:41,Standard,1220,+5
110,Rated Rapid game,https://lichess.org/MkLBMZMh,2021.02.21,?,DaenaliaEvandruile,TekSoyO,1-0,1212,-9,C46,Time forfeit,600+0,2021.02.21,04:38:38,Standard,1213,+7
111,Rated Rapid game,https://lichess.org/WPJ7x7V5,2021.02.21,?,TekSoyO,DaenaliaEvandruile,0-1,1206,+7,C50,Normal,600+0,2021.02.21,04:30:04,Standard,1222,-10
112,Rated Rapid game,https://lichess.org/MzQkTmFz,2021.02.21,?,DaenaliaEvandruile,Neesters,0-1,1225,+10,C26,Normal,600+0,2021.02.21,04:23:38,Standard,1212,-6
113,Casual Blitz game,https://lichess.org/kCfwUsFB,2021.02.20,?,PolynomialTime,DaenaliaEvandruile,0-1,1003,,D02,Time forfeit,180+0,2021.02.20,15:16:01,Standard,1186,
114,Casual Blitz game,https://lichess.org/7nDopBel,2021.02.20,?,DaenaliaEvandruile,PolynomialTime,0-1,1186,,B06,Normal,180+0,2021.02.20,15:07:56,Standard,1003,
115,Casual Blitz game,https://lichess.org/ByFgJYwv,2021.02.20,?,PolynomialTime,DaenaliaEvandruile,1/2-1/2,1003,,A40,Normal,180+0,2021.02.20,15:03:43,Standard,1186,
116,Casual Blitz game,https://lichess.org/FJoSonMf,2021.02.20,?,DaenaliaEvandruile,PolynomialTime,1-0,1186,,B06,Time forfeit,180+0,2021.02.20,14:55:55,Standard,1003,
117,Casual Bullet game,https://lichess.org/698JMB07,2021.02.20,?,PolynomialTime,DaenaliaEvandruile,0-1,1240,,A40,Time forfeit,120+0,2021.02.20,14:49:55,Standard,1209,
118,Casual Bullet game,https://lichess.org/xq65x5Js,2021.02.20,?,DaenaliaEvandruile,PolynomialTime,0-1,1209,,B06,Normal,120+0,2021.02.20,14:41:53,Standard,1240,
119,Rated Bullet game,https://lichess.org/0yayogWL,2021.02.20,?,ahi_kurabaz,DaenaliaEvandruile,0-1,1236,+4,A00,Time forfeit,60+0,2021.02.20,14:39:24,Standard,1163,-4
120,Rated Bullet game,https://lichess.org/XxpmT2F8,2021.02.20,?,DaenaliaEvandruile,LuisPereira93,1-0,1211,-5,B50,Time forfeit,60+0,2021.02.20,14:36:47,Standard,1230,+6
121,Rated Rapid game,https://lichess.org/ZaQvdYJi,2021.02.20,?,seyyah123,DaenaliaEvandruile,0-1,1204,+8,C53,Normal,600+0,2021.02.20,14:22:43,Standard,1235,-7
122,Rated Rapid game,https://lichess.org/jOT33Voh,2021.02.20,?,Fuicdey,DaenaliaEvandruile,1-0,1211,-7,C25,Normal,600+0,2021.02.20,14:11:59,Standard,1201,+6
123,Rated Rapid game,https://lichess.org/Rw0Hz4K8,2021.02.20,?,DaenaliaEvandruile,Fuicdey,0-1,1194,+7,C00,Normal,600+0,2021.02.20,13:57:14,Standard,1219,-8
124,Rated Rapid game,https://lichess.org/mTelXim2,2021.02.20,?,Fuicdey,DaenaliaEvandruile,0-1,1211,+8,C20,Normal,600+0,2021.02.20,13:51:35,Standard,1200,-6
125,Rated Rapid game,https://lichess.org/5RRckSff,2021.02.20,?,DaenaliaEvandruile,Fuicdey,1-0,1206,-6,C40,Normal,600+0,2021.02.20,13:43:14,Standard,1203,+8
126,Rated Rapid game,https://lichess.org/j2brXdaV,2021.02.20,?,TomicaKralj,DaenaliaEvandruile,1-0,1212,-9,C20,Normal,600+0,2021.02.20,13:27:48,Standard,1154,+7
127,Rated Rapid game,https://lichess.org/WU86ifVa,2021.02.20,?,ehsanoo,DaenaliaEvandruile,0-1,1203,+9,A40,Normal,600+0,2021.02.20,12:31:06,Standard,1244,-7
128,Rated Rapid game,https://lichess.org/GfaDdqyw,2021.02.20,?,DaenaliaEvandruile,Gargrdhika123,1-0,1179,-98,B01,Time forfeit,600+0,2021.02.20,12:29:23,Standard,1196,+7
129,Rated Rapid game,https://lichess.org/pmWGvcaD,2021.02.20,?,kupilunu,DaenaliaEvandruile,0-1,1187,+9,C20,Time forfeit,600+0,2021.02.20,12:07:19,Standard,1221,-7
130,Rated Rapid game,https://lichess.org/CSK7Wj0q,2021.02.20,?,DaenaliaEvandruile,Inmyarrogantopinion,1-0,1237,-7,C44,Normal,600+0,2021.02.20,12:03:21,Standard,1177,+10
131,Rated Rapid game,https://lichess.org/4YQMNZeH,2021.02.20,?,DaenaliaEvandruile,ibrahimhetem,1-0,1182,-6,C40,Normal,600+0,2021.02.20,12:01:22,Standard,1167,+10
132,Rated Rapid game,https://lichess.org/Cb3hYwEi,2021.02.20,?,DaenaliaEvandruile,XxLOKOxX,1-0,1110,-5,B00,Normal,600+0,2021.02.20,09:47:19,Standard,1159,+8
133,Rated Rapid game,https://lichess.org/Y558sCYm,2021.02.20,?,XxLOKOxX,DaenaliaEvandruile,0-1,1151,+8,A00,Normal,600+0,2021.02.20,09:30:50,Standard,1115,-5
134,Rated Rapid game,https://lichess.org/mWH1F8SJ,2021.02.20,?,DaenaliaEvandruile,Arntzy,1-0,1233,-17,B10,Normal,600+0,2021.02.20,06:37:50,Standard,1139,+12
135,Rated Rapid game,https://lichess.org/jEFREkGp,2021.02.20,?,elenovsky,DaenaliaEvandruile,0-1,1131,+8,C23,Normal,600+0,2021.02.20,06:28:11,Standard,1070,-5
136,Rated Rapid game,https://lichess.org/7hmMpD3e,2021.02.20,?,DaenaliaEvandruile,dookieman,0-1,1159,+6,D00,Normal,600+0,2021.02.20,06:10:22,Standard,1140,-9
